_id,title,publisher,writers,price,page,image,isbn
64bd8c88429d7849d7d3653b,Yeni Nesil Teknolojiler Işığında Yapay Zeka ve Dijital Dönüşüm,NOBEL AKADEMİK YAYINCILIK,Kolektif,"79,43",170,https://img.kitapyurdu.com/v1/getImage/fn:11608629/wh:true/wi:800,9786254179914
64bd8c8b429d7849d7d3653c,Eski Yakın Doğu Uygarlıklarında Toplumsal Yaşam,ALTER YAYINCILIK,Nazmiye Mutluay,"79,20",268,https://img.kitapyurdu.com/v1/getImage/fn:11584829/wh:true/wi:800,9786051912257
64bd8c8e429d7849d7d3653d,Ses ile Yankı Arasında,RASKOLNİKOV KİTAP,Ali Ergur,"44,00",240,https://img.kitapyurdu.com/v1/getImage/fn:11280739/wh:true/wi:800,9786058030824
64bd8c91429d7849d7d3653e,İlginç Bilgiler Serisi / İlginç Atom,TELESKOP POPÜLER BİLİM,M. Cüneyt Özcan,"24,00",152,https://img.kitapyurdu.com/v1/getImage/fn:10883183/wh:true/wi:800,9786052521274
64bd8c94429d7849d7d3653f,"Yapay Zeka İle Gelişen Tasarım\nGrafik ve Oyun Tasarımı, Otonom Sanat, Metaverse ve NFT Olasılıklarını Keşfetmek",EFE AKADEMİ YAYINLARI,Dr. Öğretim Üyesi İsmail Ergen,"113,75",226,https://img.kitapyurdu.com/v1/getImage/fn:11661210/wh:true/wi:800,9786256995703
64bd8c97429d7849d7d36540,Hava Durumu ve İklim Değişikliği,İLETİŞİM YAYINLARI,Laura Howell,"44,55",96,https://img.kitapyurdu.com/v1/getImage/fn:5771/wh:true/wi:800,9789750505485
64bd8c9a429d7849d7d36541,Teknik Resim,EFİL YAYINEVİ,Can Ertekin,"174,72",280,https://img.kitapyurdu.com/v1/getImage/fn:5506634/wh:true/wi:800,9786054334254
64bd8c9d429d7849d7d36542,"Uzay\nBir İnsanlık Serüveni - Bilimleri, Teknolojisi, Hukuku, Politikaları",NOBEL AKADEMİK YAYINCILIK,Fuat İnce,"177,45",408,https://img.kitapyurdu.com/v1/getImage/fn:11293189/wh:true/wi:800,9786053201793
64bd8ca0429d7849d7d36543,İnsan Çeşitliliği,ALFA YAYINLARI,Barış Özener,"71,20",240,https://img.kitapyurdu.com/v1/getImage/fn:5247198/wh:true/wi:800,9786051716220
64bd8ca3429d7849d7d36544,İlmiyye Salnamesi,İŞARET YAYINLARI,,"129,60",824,https://img.kitapyurdu.com/v1/getImage/fn:105088/wh:true/wi:800,9789753500647
64bd8ca6429d7849d7d36545,Beyin Yarım Kürelerinin Gizemi,BEYAZ YAYINLARI,H. Alp Boydak,"66,30",182,https://img.kitapyurdu.com/v1/getImage/fn:93131/wh:true/wi:800,9789755990767
64bd8ca8429d7849d7d36546,Yapı Teknolojisi,NOBEL AKADEMİK YAYINCILIK,"Mustafa Altın, Durmuş Ali Açıkel, Atila Dorum","118,97",326,https://img.kitapyurdu.com/v1/getImage/fn:11334868/wh:true/wi:800,9786051334899
