"_id,title,publisher,writers,price,page,image,isbn";
"64bd2c8859faae5ec995c2e7,Yaşam 3.0 Yapay Zeka Çağında İnsan Olmak,pegasus yayınları,Max Tegmark,""104,00"",464,https://asset.kitapsepeti.com/yasam-30-yapay-zeka-caginda-insan-olmak-374099-33-O.jpg,9786052996133";
"64bd2c8b59faae5ec995c2e8,Geometri,alaca yayınları,Mustafa Kemal Atatürk,""12,54"",76,https://asset.kitapsepeti.com/geometri-302093-428142-30-O.jpg,9786056826160";
"64bd2c8f59faae5ec995c2e9,Windows Server 2022,seçkin yayıncılık,Haydar Yener Arıcı,""248,46"",640,https://asset.kitapsepeti.com/windows-server-2022-418229-29-O.jpg,9789750275043";
"64bd2c9259faae5ec995c2ea,Nükleer Manyetik Rezonans Spektroskopisi,eğitim yayınevi - ders kitapları,Metin Balcı,""205,82"",464,https://asset.kitapsepeti.com/nukleer-manyetik-rezonans-spektroskopisi-274900-24-O.jpg,9786057009715";
"64bd2c9659faae5ec995c2eb,""Güvenlik, Teknoloji ve Yeni Tehditler"",nobel akademik yayıncılık,Aşkın İnci Sökmen Alaca,""161,70"",428,https://asset.kitapsepeti.com/guvenlik-teknoloji-ve-yeni-tehditler-295775-24-O.jpg,9786254020407";
"64bd2c9959faae5ec995c2ec,Motor Teknolojisi,nobel akademik yayıncılık,Muzaffer Hakan Yardım,""161,70"",418,https://asset.kitapsepeti.com/motor-teknolojisi-329065-24-O.jpg,9786051333922";
"64bd2c9c59faae5ec995c2ed,Evrenin Sırrı Sayılar,tilki kitap,Engin Avcı,""109,12"",220,https://asset.kitapsepeti.com/evrenin-sirri-sayilar-342067-24-O.jpg,9786258039344";
"64bd2c9f59faae5ec995c2ee,Beyin Sizsiniz 5.0 - Metaverse,girdap kitap,İsmail Hakkı Aydın,""78,00"",336,https://asset.kitapsepeti.com/beyin-sizsiniz-50-metaverse-198000-23-O.jpg,9786057113818";
"64bd2ca259faae5ec995c2ef,Zamanın Daha Kısa Tarihi,alfa yayınları,Stephen Hawking,""55,25"",184,https://asset.kitapsepeti.com/zamanin-daha-kisa-tarihi-189870-22-O.jpg,9786254494611";
"64bd2ca559faae5ec995c2f0,Konumuz Matematik,nika yayınevi,Jo Boaler,""111,00"",265,https://asset.kitapsepeti.com/konumuz-matematik-180800-22-O.jpg,9786257653312";
"64bd2ca859faae5ec995c2f1,Başlangıçta Hidrojen Vardı,cumhuriyet kitapları,Hoimar von Ditfurth,""84,00"",510,https://asset.kitapsepeti.com/baslangicta-hidrojen-vardi-212587-336417-21-O.jpg,9789944150170";
"64bd2cab59faae5ec995c2f2,Her Şeyin Anlamı,alfa yayınları,Richard P. Feynman,""48,75"",80,https://asset.kitapsepeti.com/her-seyin-anlami-466481-20-O.jpg,9786051713748";
"64bd2cae59faae5ec995c2f3,Feynman Fizik Dersleri: Cilt 1-Mekanik Işınım Isı,alfa yayınları,Kolektif,""211,25"",560,https://asset.kitapsepeti.com/feynman-fizik-dersleri-cilt-1-mekanik-isinim-isi-722856-20-O.jpg,9786051713441";
"64bd2cb159faae5ec995c2f4,Doğanın İşaretlerini Okumanın Kaybolmuş Sanatı,destek yayınları,Tristan Gooley,""78,00"",392,https://asset.kitapsepeti.com/doganin-isaretlerini-okumanin-kaybolmus-sanati-210940-19-O.jpg,9786053115076";
"64bd2cb459faae5ec995c2f5,Kayıp Kıta Mu’nun Kutsal Sembolleri,omega,James Churchward,""75,00"",288,https://asset.kitapsepeti.com/kayip-kita-munun-kutsal-sembolleri-280319-18-O.jpg,9786050200393";
"64bd2cb759faae5ec995c2f6,İzafiyet Teorisi,say yayınları,Albert Einstein,""56,25"",144,https://asset.kitapsepeti.com/izafiyet-teorisi-531237-16-O.jpg,9789754680119";
"64bd2cba59faae5ec995c2f7,Zamanın Resimli Kısa Tarihi,alfa yayınları,Stephen W. Hawking,""321,75"",265,https://asset.kitapsepeti.com/zamanin-resimli-kisa-tarihi-543233-15-O.jpg,9786050380712";
"64bd2cbd59faae5ec995c2f8,İnsan Vücuduna Seyahat,domingo yayınevi,Gavin Francis,""77,05"",272,https://asset.kitapsepeti.com/insan-vucuduna-seyahat-171974-14-O.jpg,9786051980041";
"64bd2cc059faae5ec995c2f9,Evren Avucunda,domingo yayınevi,Christophe Galfard,""80,40"",380,https://asset.kitapsepeti.com/evren-avucunda-305731-14-O.jpg,9786051980027";
"64bd2cc359faae5ec995c2fa,Holografik Evren,omega,Michael Talbot,""150,00"",456,https://asset.kitapsepeti.com/holografik-evren-323176-13-O.jpg,9786050204612";
"64bd2cc659faae5ec995c2fb,Evren 101,say yayınları,Carolyn Collins Petersen,""93,75"",280,https://asset.kitapsepeti.com/evren-101-289504-13-O.jpg,9786050205176";
"64bd2cc959faae5ec995c2fc,Kimsenin Bilemeyeceği Şeyler,tuti kitap,Sinan Canan,""103,85"",296,https://asset.kitapsepeti.com/kimsenin-bilemeyecegi-seyler-266125-10-O.jpg,9786058509191";
"64bd2ccc59faae5ec995c2fd,Tanrı`nın Kapısını Çalan Bilim,altın kitaplar,Carl Sagan,""82,80"",288,https://asset.kitapsepeti.com/tanrinin-kapisini-calan-bilim-464384-83-O.jpg,9789752109131";
"64bd2ccf59faae5ec995c2fe,Kan Ter ve Pikseller: Video Oyun Yapımcılığının Arkasındaki Çalkantılı ve Zafer Dolu Hikayeler,i̇thaki yayınları,Jason Schreier,""117,00"",280,https://asset.kitapsepeti.com/kan-ter-ve-pikseller-video-oyun-yapimciliginin-arkasindaki-calkantili-ve-zafer-dolu-hikayeler-195100-72-O.jpg,9786257737548";
"64bd2cd159faae5ec995c2ff,Descartes’ın Yanılgısı,odtü geliştirme vakfı yayıncılık,Antonio Damasio,""80,60"",408,https://asset.kitapsepeti.com/descartesin-yanilgisi-284688-69-O.jpg,9786057744371";
"64bd2cd459faae5ec995c300,Kuantum Uzayı,ketebe yayınları,Jim Baggott,""44,22"",416,https://asset.kitapsepeti.com/kuantum-uzayi-444906-67-O.jpg,9786257587044";
"64bd2cd759faae5ec995c301,Eminim Şaka Yapıyorsunuz Bay Feynman,alfa yayınları,Richard P. Feynman,""87,75"",350,https://asset.kitapsepeti.com/eminim-saka-yapiyorsunuz-bay-feynman-322170-52-O.jpg,9786051066752";
"64bd2cda59faae5ec995c302,Şüphecinin El Kitabı,ginko kitap,Arsel Berkat Acar,""148,00"",424,https://asset.kitapsepeti.com/suphecinin-el-kitabi-368170-18-O.jpg,9786058023116";
"64bd2cdd59faae5ec995c303,Yaşam Nedir?,pan yayıncılık,Erwin Schrödinger,""134,00"",248,https://asset.kitapsepeti.com/yasam-nedir-469129-30-O.jpg,9786059646307";
"64bd2ce059faae5ec995c304,Bu His Sizin mi?,küsurat yayınları,Büşra T. Kazan,""46,80"",128,https://asset.kitapsepeti.com/bu-his-sizin-mi-809317-42-O.jpg,9786057177957";
"64bd2ce359faae5ec995c305,Girişimciler İçin İnşaat ve Müteahhitlik,seçkin yayıncılık,Serdal Özlük,""156,60"",128,https://asset.kitapsepeti.com/girisimciler-icin-insaat-ve-muteahhitlik-420831-806208-42-O.jpg,9789750283819";
